SENTENCE	SLANG_TERM
They want to have you evaluated by a shrink ...	shrink
- He is willing to face down	willing to face down
# Would n't try to bite # # when she calls your name #	bite
It was disaster for the club , Roy Keane missing it .	disaster
Thank you so much , officer .	yes
I am really really glad you 're here .	glad
You said , '' '' The most valuable commodity I know is time . '' ''	commodity
Darling , I do n't actually have my gift with me .	darling
So what you act like tings is gon na run for then back out ?	tings
Them 245 bitches is whack !	bitches
I ca n't find you , and now I come to you with an idea put myself on the line , you shoot it down with negativity .	shoot it down
Their motto is '' If it ai n't Stiff , it ai n't worth a fuck ! ''	ain't
I struck out my first time having sex , got PID .	struck out
Do I look like an asshole ?	asshole
I said hold that shit !	shit
Bet you 'd like to stick your dick in that , huh ?	dick
- J.J. , you tail him , all right ?	tail
I pop ' em like candy .	pop em
Gentlemen , join our band of brothers .	band of brothers
.. Put up your dukes Let 's get down to it ..	dukes
And there ai n't nothing that helps a reelection campaign in the state of Texas like an execution .	ain't
Right , and look how you turned out .	turned out
Ty , he 's not gon na make it .	gonna
I knew right then that she was n't gon na be a kid any longer .	gonna
If you wan na communicate with me do it through your lawyer .	wanna
I feel like he 's looking at me and he 's thinking that I 'm trying to be white or something .	white
- Ask him what he wants .	pieces
Seems sort of like an ordinary guy .	guy
- They 're off to by crack .	by crack
Oh , he 's going to town on me , Toby .	town
All right , hold it down .	hold it down
Have been colonized by your rapist .	colonized
That was the beauty of The Cliff , was n't it ?	beauty
# Up your ' arris , in your mince	'arris
Uh , this is -- this is Becca .	uh
- In my man 's hood , the boy had the nicest pair of hands in the whole neighborhood .	hood
I do n't care , just get in the car , will ya ?	ya
No one can help these slags .	slags
First Dad screws me over , now my brother screws me over ?	screws me over
We 're just blocking his gateway to hell .	gateway to hell
How am i gon na get you to Devon ?	gonna
You need to check him .	check him
Er ... yes , it 's a bit on and off .	er
Been Nathan 's teacher for seven years , I wan na see this through .	wanna
You know , I swear someone was helping me , though I just ca n't bring it together .	swear
- No , thank you , I 'm working .	vinnie
They raffle off the right to carry my books to class :	raffle
We have n't seen him hit a baseball all year .	bum
- I say we go for it .	go for it
Because I want to take in Bolton Abbey and then quickly say hi to my parents .	hi
No , what we 're talking about here is your basic secondary type of fella , the fella that thinks he 's a great lover , your sensitive male smoothie type .	fella
Sam , you do n't actually have a choice .	shrink
You 're gon na get me fired !	gonna
You ai n't the only one who lost BTRO .	btro
'Cause I got dizzy ... twice .	dizzy
I make more in a month now than I did in my best year as a nurse .	nurse
I suppose that 's a shame .	that's a shame
Listen , man , if she ai n't on the streets ,	ain't
- Yeah , I 'll believe it when I see it .	yeah
It 's the worst gig we 've ever played since Sidcup Crematorium .	gig
Brought the old ball and chain , what ?	ball and chain
- It 's how it is or it all goes tits up .	tits up
We got ta go kill somebody .	gotta
No , girly , you do n't know	girly
Do you wan na look at our hole ?	wanna
I miss my mum and all the kids and funnily enough , I quite miss me dad and all me mates .	kids
This is Bads , we used to kick the fuck out of eachother .	bads
No , but really , that 's one of the stages of the thing , of using the Asset .	kiddin
I 'm talking about trigger-happy lumps with machine guns .	lumps
Kids eat some cake and we lift the grim bloody pallor of mortality for a few glorious moments .	kids
And some of the people that you meet on the road ... are really amazing people .	road
She also said you need to increase my allowance to 5 dollars .	allowance
And to you , Harry , this $ 500 chip out of my own pocket .	chip
Three to five feet of snow , maybe more .	maybe
♪ They 'd rather wait Until I 've turned my back , no turnin ' back	turnin'
I got ta open up to you .	open up
Sweetheart , she 's never gon na disappear .	sweetheart
Better hold your next words real close , Pace .	hold
I 'm gon na try to get a signal .	gonna
- Run ' em out of town ?	run'em
That bitch can never keep those titties legit .	titties
Okay , you need to work on your finger flexibility .	okay
Welcome to my world , to the excruciatingly erotic world of Wild Velvet .	it is veryuseful
- Was gotteskind looking at Kenny kristo ?	gotteskind
Anita Addison said he got off because he joined the military .	got off
♪ Anytime you feel downhearted ♪	downhearted
- I know the bloody feeling .	bloody
Everybody knows you used to shit yourself around my old man .	shit yourself
[ Davey sings'Every Time We Say Goodbye by Ella Fitzgerald ]	i die a little
I was thinking about Charlie , lying in there , shitting himself at what 's just happened to him .	shitting
Of the shit that is all around .	shit
To being in our house and hanging out with us and for making a great meal .	hanging
Hey , honestly ... this town sucks , Sean .	sucks
If you get into a jam , you can call me .	jam
I thought Carl was going to have it off your wrist .	going to have it
Relatives are as strong as blood .	strong as blood
You 're a real charmer , you are .	charmer
* I am too busy losing myself in my mind *	mutters
Oh , yeah , B . Bringing that shit in 90 % pure .	pure
I told you , you speak again , I 'm gon na knock you out .	gonna
I think she decided that whatever was in me now was dark and ugly and better left where it was , as long as it was not near her and the kids .	kids
So , now that we have our man , let me say a few words .	few words
Get lost , you bloody queer !	bloody
* Drag boy , dog boy , dirty numb angel boy	drag boy
Are you gon na give me a hand ?	gonna
You freaked me out so that I would see something .	freaked
The others have devoted more time and resources than you can imagine to developing an ability to pass from one side to the next with no success .	my fist and then daves dick
We 're just messing about , right ?	messing about
- Just take it easy , take-take it easy .	take it easy
Cops wo n't confirm whether there 's a link to the al Qaeda terror group ...	link
Now where is the other thing you were talking about , cuppa , cuppa , cuppa ?	cuppa
So you 're the kid who 's sent me those articles from the school newspaper .	kid
Okay , Norman , you are calling me for pinochle .	pinochle
Look , Bretton is not an enemy a kid like you wants to have for life .	kid
- This is my family , innit ?	innit
I do n't think anyone can really explain rock ' n ' roll .	rock' n' roll
- She did n't take your phone , innit ?	innit
- guys that ca n't get laid .	laid
If you write about something that 's happened , you 're not gon na lie and say , '' It did n't happen , '' when it did all the time .	gonna
It 's just , '' magical comfort food for the weak and uneducated '' ?	comfort food
In a get , you get to get rid of the entire schmuck . ''	schmuck
What the bloody hell is that ?	bloody
You see what your lads are doing ?	lads
And not the hot kind .	hot
And I went up to him and I said , '' Give my band a gig , top of the bill . ''	gig
No , it 's Saturday , you moron .	moron
♪ With the boy of my choice if he makes me go '' Ouch ! '' ♪	couch
So Doc how long will this episode gon na last for ?	gonna
♪ Wan na be actors , they ca n't act as well ♪	wanna
You should 've seen O'Hare 's first .	bastard
Now , this is what you call a real lead on a real suspect .	lead
Five grand , you can have ' em .	grand
- Can I get a bump ?	bump
'Cause you 're already better than anyone there .	'cause
Nah , when you 're done fuckin ' about , yeah , you call me , yeah ?	nah
orita tried to execute her life twice , man .	thats great
That 's what an ass will do .	ass
When you use equal goods or services instead of cash .	cash
Frank , you and Carl hang out .	hang out
We 're not gon na let the bank take your house .	gonna
- The city does n't wan na make a big case out of this .	big case
It got nicked in the end , the car .	nicked
And eventually , he resorted , after periods of unsuccessful counseling , to the practice of handcuffing his own wrists behind his back whenever he would lose his temper with any of us .	handcuffing
Truvy , can you make some quick magic ?	magic
Why , do n't they have three inches of piss in the dressing rooms ?	piss
Try getting jacked off under the table in front of the family and have some real problems .	jacked off
- Now come , we need to talk , huh ?	huh
Do n't wet your panties , Josh .	panties
Shoes , 300 quid , come on .	quid
- Hey ... there 's acid in the beer that 's in the red cups .	acid
- What else are you gon na ban ?	commercialized
'Me and him spent a lot of time together cos his dad is a right miserable bugger .	cos
- You think you 're a big girl ?	big girl
And by us havin ' it , ..... hopefully some other people will learn how to have it .	havin'
- What seems to be the problem ?	fired
Your story was more interesting .	you're gonna die
I go by '' '' Bretton '' '' these days .	days
- Mark , you better not be driving .	driving
and saying the other one 's cuter and all this stuff , and , uh , Maggie asks how old her son is , and she gets down in front of the stroller and says , '' Hi , little monkey ! ''	monkey
Is there any way I can come see you some time ?	uh
I put them through hell .	hell
You got to be brave , all right ?	all right
But I thought maybe I stepped into it wrong .	zipped
he said to follow- i know , i fucking know , ai n't i ?	ain't
And I swear if I put a cup of tea on the sideboard , you 'd see the same ripples in my tea .	boom
But we can probably just swig out of the bottle .	swig
There is 1.6 million quid in there .	quid
Okay , look , when you said that we should hang out Friday ,	okay
I did n't know he was gon na say all that shit .	shit
These investigations , they make you popular with the West Yorkshire lads , did they ?	lads
Umm , tickets to cirque du solei for him and his family .	cirque
- You got ta be out of your minds .	out of your minds
Put them in the hole , all right ?	hole
You got the easiest job on the boat , and you manage to screw it up !	screw
I wan na see you guys .	guys
I 'm sure people think we 're gay .	gay
♪ Been at a house party around the way Doing illegal shit but he 's just a kid	kid
I 'm gon na kill you , blood !	gonna
The problem is you date a girl for two weeks , get her to fall in love with you ...	fall
I wo n't ever get flat .	flat
I ai n't having ' it , pal .	ain't
- Ho , shit , what up , Sean ?	ho
'Cause I 'm having a shit day , and I 'm ready ...	shit
Boy , do you look guilty .	boy
`` Lovers long for the moment their souls may blend in a whisper . ''	blend in a whisper
When I rock like this rock like this	rock
Okay , folks , Nothing to see here .	folks
Blowing up stuff always helps .	blowing up
- Beth , go left your jumper .	jumper
I thought you guys were gon na wait for me ?	gonna
You want to do this shit ?	shit
You and me ... divorce ceremony .	ceremony
So I do n't see you in a couple of months , yeah , and you got yourself a girl , blood ?	yeah
But you have to promise not to get mad .	mad
I invited the woman in , I shut the door I hopped on the desk and I just let her do it .	hopped on
I 'll give you six for both tings .	tings
♪ La-la la la-la ♪	la la la la la
- Oh , aye , what 's that called ?	aye
I 'm a pussyhole cos I 'm not doing crack ?	pussyhole
You swore on my life you were gon na leave this alone .	gonna
'Cause Coleridge was off on his travels .	cause
Want to come with your daddy ?	daddy
I gave them bad guys .	guys
We can just get this a little more ...	yeah
Give him a chance , man .	man
Do you remember Kiddo , after you had been left out ?	kiddo
We 've got something real , girl .	real
One of us has got ta lose some weight .	gotta
That 's a very smart stay .	smart stay
I never made any money shorting Hydra .	shorting
My partners get pissed off and they leave me holding the bag , that 's it , I 'm done .	bag
Do you see how open I 'm being with you here ?	here
What 'd you expect , you 're gon na win this job , with all the rewards that come with it , by giving them a little simple written answer ?	gonna
kids ..... um , smoking so much dope , and taking so many drugs .	kids
Something I 've always kinda wondered is , is it the same guy I 'm talking to every week or there 's a few of you and you switch off , or ... how does that all work ?	guy
Uh , he 'll be pitching to you .	pitching
Chum , come and pick me up	chum
Well , look , I 'll sign this for William , okay , if ... if my friend and I can go take a look at Dove Cottage .	okay
You think you 're up for all this , Pete ?	up for
Come on , I 'm just playing with you .	playing
Hooks up with the first attractive woman who he meets .	hooks up with
There 's no more room at this inn .	inn
I can just make sure that it ... that it ... it stays very , very steady .	steady
.. Hit me with your best shot ..	hit me
♪ Anytime you 're feeling blue ♪	feeling blue
Do you really think the sun about giving up the most important thing	sun
- Oh , you 're gon na cover me ?	cover me
- Then she got serious with mine .	got serious
So , there 's this person I like , but I know how bad I 'm gon na get	gonna
You could have broken up with her .	broken up
I 'll stick it up your fucking arsehole and rip your fucking hair out , and you 'll fucking love every fucking minute of it !	arsehole
That 's why your boyfriend shagged around .	shagged
Just wait till Daddy hears about this .	daddy
You 're missing out on something , but ...	something
You do n't need Daddy to be here for you ?	daddy
She was always a big girl , but she would not stop eating the shit that was killing her .	shit
For God 's sake , Toby , that does n't mean you just bring her back .	for god's sake
Can I have a word please , mate ?	mate
I 'm not done yet , Monica !	cheerleader
Let 's done start Got ta ti// the ground	gotta
Why do you keep looking at the clock , blood ?	blood
Say that he is ok .	ok
♪ You could get lost in this concrete jungle New builds keep springing up outta nowhere	concrete jungle
Is it 100 percent goose down ?	goose down
Like , we wear Firebird monster costumes .	like
You schooled by a little girl	schooled
He said , '' Truth or Dare , bitch . ''	bitch
We are the murder weapon .	weapon
You 're chatting shit there , bruv , I do n't know what you 're talking about .	chatting
When she was little , they said it was gon na go away but it never did .	gonna
Did n't march halfway across the world and put Jerry back in his box for jumped-up spivs to end up running the show at home .	spivs
Mmm , no , it seems to be OK .	mmm
Mrs. Tischler 's gon na give us a second chance .	gonna
Well , if Dad spent more time with him then the memories would n't have to be so '' lasting . ''	lasting
Be a ghost and be a legend at the same time .	legend
# Not a tear but a cheer , make it gay	gay
All right , bruv , let it go .	bruv
Once our work is done here , we 're gon na burn this place to the ground !	gonna
You want to know the way I see it ?	valid
I do n't wan na do this !	get there
Somebody raped your girl , man .	raped
It 's like she sort of cleaned me out or something .	cleaned me out
I do n't wan na say sleazy , because that 's not the right word but a little irresponsible ?	sleazy
Man , I 'll do anything for you .	do anything for you
- I might just pop off to the toilet .	pop off
He said the regiment were n't the same since you left .	mate
- Oh , it 's gon na be great .	gonna
You would n't mind keeping an eye on them ?	keeping an eye
And I just thought , '' Nah , I 'm not having it .	nah
And I 'm smiling to myself because of the surprise I have in store for you .	store
It 's not as big as yours , but , yeah .	yeah
- I do n't wan na talk about it , Walt .	wanna
- You going to the bookies later ?	bookies
This one kinda looks like a hand .	kinda
She really wanted to be here , but she could n't change her shift .	really
Not so much ' cause we 're right by the dumpster , and the trash guy forgot to stop on our street again .	dumpster
Man , chill the fuck out .	chill
What is it you like of Greek tragedy ?	shades
And it 's gon na kill you .	gonna
Come on , Penny , join us .	vacation
It 's unfair my boy 's got a slapper for his mum .	slapper
I 'm not about to give up the one and only chance I ever had .	mangy
- I dropped her off to my mum 's .	dropped off
¶ That 's what we do with a drunken sailor ¶	drunken
First , you tell me ... did you sleep with her or not ?	sleep with
It was over when the Russians made her .	made her
So many girls hurt in that house .	many
# If I ever shaped up tricky	shaped up
Let me tell you something about people like me .	little
From everything you told me about him , he sounds like a kook .	kook
We 're supposed to make each other feel safe .	what the point
I 'm coming back to Paradise .	paradise
I ai n't got nothin ' but time , baby .	ain't
Saw every last peppy pigtail that passed through this place :	peppy pigtail
- Yeah , I do , as it goes .	yeah
# Sir , come on and put the charge on me	put the charge on
Go and pull something now , yeah ?	yeah
It does n't seem like I 'm the only one who 's gon na be doing the talking this evening .	gonna
I met a lot of girls .	girls
You had to chat someone up .	chat someone up
I just wanted to play a part , but I never thought I could	till
Well , I 'm saying what are you gon na do for the camera ?	camera
Yo , man , why you asking him first , man ?	yo
So they 're splayed a little more .	splayed
She 's got rules against this kind of thing :	rules
Hey , it was fun watching you up there tonight , man .	man
I ai n't gon na fuckin ' walk around with it .	ain't
- And a wicked girlie weekend together .	girlie
Then , just when she begins to think that you 're another , you know vanilla-nice guy that she can tool around with all night without getting naked you insult her .	vanilla
For being such a jerk to you when you woke up today .	jerk
Yeah , but it do n't seem right .	yeah
- Each student will be required to turn in their phones to teachers and retrieve at the end of the day until we have gotten to the bottom of this .	gotten to the bottom of this
Just that it 's gon na happen , very soon .	gonna
- He did n't take shit from nobody .	shit
I know it 's not the moniker that I was looking for but what were they gon na do ?	gonna
Pauli , you know where I come out on all this , buddy .	buddy
Do n't fool with me , missy .	missy
I want to have a crack at your boss .	crack
Those flowers Jeremy brought for you .	sham
- I 'd like to know how you did that .	women
But , uh , can I have it in my room ?	uh
She really does n't want to come over here .	really
Whoa , hang on a minute .	whoa
- This how you stop a woman .	a woman
Sir , it 's '' mummy porn '' now .	porn
You fucking crybaby doll , get off my fucking fanny !	crybaby
Or he thinks he 'll score better with another captain .	score
Peter Lorimer falls when no one touches him .	bites yer legs
Am I right , or am I right , huh ?	huh
Call my uncle and tell him to get my brief down the nick , all right ?	nick
But we got a rock-solid alibi , and all we got ta do is stick with it .	alibi
Served a nickel at Folsom for auto insurance fraud .	served a nickel
I 'm cool with both my babies ' mamas .	babies' mamas
Goddamn kid , I 'll teach you lesson .	kid
Do n't tell me he 's got you wrapped around his little finger , okay ?	okay
I 've thought about it all night while we packed .	packed
Didrt you get enough of my ass back in that foundation ?	ass
L Dubba E and crew bustir up into this piece .	piece
I want you to go home , sleep on it .	sleep on it
Do n't feel bad , little dude .	bad
I knew you would make fun of me .	make fun
They 've been crying for you like a bunch of whimpering pussies .	pussies
You keep on , it 'll drive you round the twist .	round the twist
♪ They already want my ass gone ♪	ass
Je peux vous aider , madame ?	je
[ Roper ] Fancy meeting you here .	fancy
Just a bodily function , mate .	mate
She was screaming her head off and you were n't answering your phone .	screaming
Just be careful , Niko , yeah ?	yeah
You know how sick the guy across the way is ...	sick
Honey I got ta pay the tab that we ran out on .	ran out
Listen , I ca n't -- Well , again , I ca n't tell you how sorry I am , but we 'll see things are fair and square you know , property wise .	fair and square
Most of the storm is pushed up into the shenandoah valley ...	pushed
Most love stories are about people who fall in love with each other .	fall in love
Could n't get much . 50 quid .	quid
G'day , blue , how 's it going ?	g'day
- When it 's your turn , rain stick .	rain stick
He 's got a nice swing .	swing
On a cop 's salary , huh ?	huh
This is why I 'm staying , because you 're always taking the piss , making me feel that fucking big .	taking the piss
But the price of it was just sort of , er , ..... I felt was too much , really .	er
It all goes belly up .	belly up
- You 're gon na tell him about the fight .	gonna
No , it ai n't nothing like that .	ain't
let me get by you real quick , man .	get by you
You ca n't get a better proof of trust than that check .	check
- ' Cause it 's out of whack .	cause
God , I am terrified to tell you , but I 'm gon na tell you .	terrified
- Do n't posh boys drink this all the time ?	posh
He just sits there , sleeping with his eyes open , staring at the TV .	sleeping with
Do n't let those swill merchants rewrite you .	swill
The captain says you 're retiring .	captain
Well , actually I 'm studying the Grandmasters .	well actually
You 're thinking about it , innit ?	innit
You have got to be kidding me .	kidding
Like you were making love to someone else .	making love
Your son 's on line two .	line
Has anything been going on at home that might 've provoked this behavior ?	going
Sammy only had one eye , but he cut quite a figure .	cut
♪ He 's got a hoodie on Give him a hug	hoodie
Would you stop flirting with victoria .	upstage
- And then you people come down on us .	come down on
- Not as funny as this , mate .	mate
It would mean a lot to me .	mean a lot
'Oi , mate , slap her arse .	mate
Yeah , you did good with that drink , Lisa .	yeah
You 're gon na be afraid your whole life .	gonna
I 'm going home , and anyone who has n't lost their bottle can follow .	lost their bottle
And then when we lost Rudy ,	shut down
Please , you do come back.-Yeah ,	yeah
- I guess that is the hard bit out of the way .	hard bit
The exact day I turn legal ,	legal
But are they gon na look after you when you get out ?	gonna
♪ that I 'm gon na buy you ...	rocks
I , uh ... in fact , uh ...	in fact
Will be a regular occurrence , chopping and changing ?	chopping and changing
You need to focus if you 're gon na win a medal .	gonna
Yo , so check out my new move .	yo
None of us love you .	above
Yes , yes , just got ta process a few forms and you 'll be on your way .	gotta
I know where his homie stay .	home
`` Ooh , I 'm weak . '' Then they 're better .	ooh
Get off the goddamn truck !	goddamn
I 'll stab you with my fucking cock .	cock
Yeah , you know , like plans .	yeah
Since last Sunday I did not have sexual relations out of wedlock .	since last sunday
She tell me all her symptoms , you know , man .	man
Living out of suitcases and visiting every shit-ball town in the area .	living out of suitcases
It 's none of your business .	none
The developers are on my ass , okay ?	on my ass
Otherwise I ai n't saying another word until I see a fucking brief .	ain't
- It 's , uh ... you wo n't hear about these babies on garden 's quest .	chuckles
Erm , and the grass was all way overgrown and stuff .	erm
Periodically , he would come back and visit , uh-huh .	uh huh
♪ Are nagging at you ♪	nagging
Beats slavin ' on this ball and chain .	slavin'
Let 's sort this stuff out and get over to M'Lynn 's .	sort this stuff
Ever since you was kids , you ai n't never given up on nothir .	ain't
- turned out in the past .	prick
He really lost it , man .	lost it
Why did n't he ever tell me about any of this shit ?	shit
Can I just talk to you a sec ?	a sec
He 's telling me mans is gon na hurt my family because of what happened to Trife .	gonna
Okay , I think I 'm gon na use the bathroom .	gonna
It 's a figure of speech Meg .	figure of speech
Some children , you could give ' em to you and they 'd have screamed and carted on , would n't they , you know what I mean ?	give 'em
and I try so hard .	try so hard
And that breaks my heart .	breaks my heart
I 'm not the one playing twenty questions .	playing twenty questions
But you 're gon na mess up mine , too .	mess up
Stinks in here , does n't it ?	stinks
Okay , well , let 's do it , okay ?	okay
I wanted to tell you that you 've always been more than just a slash on my list , yo .	slash
You never think , years ahead , how they became such a friendly unit .	unit
Well , that 's easy for you to say .	easy for you to say
We 'll build all our stuff round that .	stuff
'Cause I wanted to get close to them .	'cause
Pick your head up , buddy .	buddy
You did n't do anything wrong .	felt like i should say something
I need to go for a piss .	piss
Are n't you a busy bee ?	busy bee
- I ran into Charlie Fineman today .	ran
Well you know sometimes you tell people about mam and they give you money or sweets .	mam
This guy is so gnarly .	gnarly
`` So he sanded the geezer 's winkle off with a Black Decker drill . ''	geezer's
I thought that we had gotten past that , Greg .	gotten past
Let me grab a ... a water .	grab
Do you want to go get some sushi from the bar ?	sushi
Okay , this was a really close call .	close call
* You 're gon na pay for it	gonna
I 've just been dumped and womanized .	womanized
Mind your helm , goddamn it .	goddamn
- He likes having us in the house .	having us
I 'll be home in a minute , okay ?	in a minute
Well , ma'am , you 're good to go .	ma'am
- I 'm just talking to her .	'em
A couple of pints with Dickie Alderman and a few of the lads .	lads
.. I heard it described ..... as the perfect encapsulation of the Britpop aesthetic .	britpop
It 's trying to kill me , man !	man
Honestly , I really admire what you did .	honestly
Do you wan na wear that ?	wanna
Come on , cap , we can do it .	cap
There 's , like , a little study area , and , yeah , it 's all right .	yeah
I 'll be god damned if that coward lay one more hand on me .	damned
I do n't remember jamming to it .	jamming
We get to see that the girl 's all right .	all right
I know you and Sweetpea was out doing me wrong .	sweetpea
I 'm gon na be the man who gets drunk next to you	gonna
That screwed up her life .	screwed
He 's a sweet , nice guy .	sweet
We believed there might be one suicide bomber .	worst casualty
This is a gutsy thing you 're doing here .	gutsy
Everything happens for a reason , dunnit ?	dunnit
He eats his own poo .	poo
'Oause you 're free in the land of America	oause
One of the odder things about this whole twinning ..... of Britpop with lad culture , ..... um , is the fact that , um , ...	britpop
Got any evidence of foul play ?	foul play
There 's an overload of goodness .	overload
Do n't talk to me like that .	hammered doodoo
They 've taken you for a fool .	fool
Just give us a few secs , yeah ?	secs
I think , again , like Scholesy , it sort of goes under the radar , that goal .	under the radar
But , uh , bust some grills out there , all right , JTRO ?	jet
- Tommy , what 's going on , mate ?	mate
I got a pizza coming .	got
- She 's going to go nuts .	nuts
Matthew , you 'll take the wing position here :	wing
- Just get on the back .	damn it
Somebody has to keep our economy going .	going
Wo n't you get on my back for piggyback ride	piggybank
To be honest , you all look a bit ... old to be hanging around with him .	hanging
Shit 's tough in the FP , bitch !	shit
I do n't know if he 's too in your head , and maybe you 're mad because you never had a daddy ,	never had a daddy
Yeah , if I want to pick my ...	yeah
Put the hurt on em ' , Ray !	put the hurt on
